date,product,region,quantity,unit_price
2025-01-01,Widget,North,10,19.99
2025-01-02,Gadget,South,5,29.99
2025-01-03,Doohickey,East,8,9.99
2025-01-04,Gizmo,West,12,49.99
2025-01-05,Widget,Central,3,19.99
2025-01-06,Gadget,North,15,29.99
2025-01-07,Doohickey,South,7,9.99
2025-01-08,Gizmo,East,9,49.99
2025-01-09,Widget,West,6,19.99
2025-01-10,Gadget,Central,11,29.99
2025-01-11,Doohickey,North,4,9.99
2025-01-12,Gizmo,South,14,49.99
2025-01-13,Widget,East,8,19.99
2025-01-14,Gadget,West,2,29.99
2025-01-15,Doohickey,Central,13,9.99
2025-01-16,Gizmo,North,6,49.99
2025-01-17,Widget,South,10,19.99
2025-01-18,Gadget,East,5,29.99
2025-01-19,Doohickey,West,9,9.99
2025-01-20,Gizmo,Central,7,49.99
